Label,Width (cm @ 100SSD),Length (cm @ 100SSD),Energy (MeV),Applicator (cm),SSD (cm),RCCC Inverse factor (dose open / dose cutout)
Simon 3cm circle,3.15,3.16,12,10,100,1.076
Simon 3x5cm oval,3.16,5.25,12,10,100,1.07
Simon 3x13cm oval,3.17,13.64,12,10,100,1.049
Simon 3x6.5cm oval,3.17,6.83,12,10,100,1.054
Simon 3x9cm oval,3.17,9.43,12,10,100,1.054
P4,3.55,7.7,12,10,100,1.059
Simon #57 cutout,3.66,5.04,12,10,100,1.06
Simon #112 cutout,3.71,4.36,12,10,100,1.054
Simon 4cm circle,4.2,4.21,12,10,100,1.046
Simon 4x10cm oval,4.21,10.51,12,10,100,1.03
Simon 4x13cm oval,4.21,13.65,12,10,100,1.025
Simon 4x6.5cm oval,4.21,6.82,12,10,100,1.041
Simon 4x8cm oval,4.21,8.41,12,10,100,1.03
Simon #20 cutout,4.38,5.47,12,10,100,1.038
P10,4.48,7.29,12,10,100,1.041
Simon #14 cutout,4.59,5.67,12,10,100,1.043
Simon #3 cutout,4.59,6.54,12,10,100,1.033
Simon #38 cutout,4.67,6.28,12,10,100,1.027
Simon #22 cutout,5.21,11.4,12,10,100,1.012
Simon 5cm circle,5.25,5.26,12,10,100,1.03
Simon 5x10cm oval,5.26,10.52,12,10,100,1.012
Simon 5x13cm oval,5.26,13.66,12,10,100,1.013
Simon 5x8cm oval,5.26,8.41,12,10,100,1.017
Simon #104 cutout,5.34,9.64,12,10,100,1.007
P40,5.43,11.02,12,10,100,1.013
Simon #19 cutout,5.72,11.6,12,10,100,1.001
Simon #83 cutout,5.86,8.62,12,10,100,1.011
Simon #58 cutout,6,7.98,12,10,100,1.009
P3,6.04,9.22,12,10,100,1.001
Simon #33 cutout,6.08,6.64,12,10,100,1.007
Simon 6cm circle,6.3,6.33,12,10,100,1.014
Simon #43 cutout,6.31,8.24,12,10,100,1.008
Simon #82 cutout,6.41,8.69,12,10,100,1.001
Simon #16 cutout,6.53,10.99,12,10,100,1
Simon #109 cutout,6.54,8.41,12,10,100,1.007
Simon #106 cutout,6.64,9.81,12,10,100,1.001
Simon #34 cutout,6.78,10.98,12,10,100,0.993
P22,6.9,10.25,12,10,100,1.001
Simon #41 cutout,7.08,10.77,12,10,100,0.995
Simon #6 cutout,7.18,11.27,12,10,100,1.001
P38_1,7.21,9.03,12,10,100,0.99
Simon 7cm circle,7.36,7.37,12,10,100,0.997
Simon #73 cutout,7.56,10.05,12,10,100,0.996
P12_1,7.6,10.26,12,10,100,0.986
Simon #70 cutout,7.64,8.99,12,10,100,0.997
Simon #18 cutout,7.82,10.85,12,10,100,0.998
Simon #32 cutout,8.06,11.85,12,10,100,0.993
Simon 8cm circle,8.4,8.42,12,10,100,0.993
Simon 9cm circle,9.45,9.47,12,10,100,0.992
Simon 5cm_15MeV,4.99,5,15,10,100,1.026
P36_2,5.07,9.15,15,10,100,1.009
Simon 5.3x12.5cm_15MeV,5.26,12.45,15,10,100,1.008
Simon 6.1cm_15MeV,6.09,6.1,15,10,100,1.021
Simon 6.7x12cm_15MeV,6.76,12,15,10,100,1.001
P5_2,6.97,9.79,15,10,100,1.004
Simon 7.25cm_15MeV,7.23,7.26,15,10,100,0.997
P28,7.4,9.25,15,10,100,1
P37_1,7.73,9.66,15,10,100,0.995
Simon 8.3cm_15MeV,8.28,8.3,15,10,100,0.995
Simon 8.5x10.9cm_15MeV,8.5,10.85,15,10,100,0.995
Simon 9.5cm_15MeV,9.49,9.5,15,10,100,0.991
P31_1,4.9,9.4,18,10,100,1.009
P36_1,4.9,9.4,18,10,100,1.006
Simon 5cm_18MeV,4.99,5,18,10,100,1.018
Simon 5.3x12.5cm_18MeV,5.26,12.45,18,10,100,1.005
Simon 6.1cm_18MeV,6.09,6.1,18,10,100,1.012
P37_4,6.67,9.28,18,10,100,0.992
Simon 6.7x12cm_18MeV,6.76,12,18,10,100,1.001
P12_2,6.83,9.19,18,10,100,0.995
P13,7.1,8.79,18,10,100,1.003
Simon 7.25cm_18MeV,7.23,7.26,18,10,100,0.999
Simon 8.3cm_18MeV,8.28,8.3,18,10,100,0.997
Simon 8.5x10.9cm_18MeV,8.5,10.85,18,10,100,0.996
P42,9.14,11.32,18,10,100,1.002
Simon 9.5cm_18MeV,9.49,9.5,18,10,100,0.992
P62,3.99,6.51,6,10,100,1.037
P50,4.1,5.99,6,10,100,1.035
Simon 5cm_6MeV,4.99,5,6,10,100,1.024
Simon 5.3x12.5cm_6MeV,5.26,12.45,6,10,100,1.004
P7,5.69,7.58,6,10,100,1.005
Appears to be a standard 6cm P5_1,6,6,6,10,100,1.0114
P9_1,5.79,7.2,6,10,100,1.015
Simon 6.1cm_6MeV,6.09,6.1,6,10,100,1.01
P24,6.47,8.25,6,10,100,1.005
Simon 6.7x12cm_6MeV,6.76,12,6,10,100,1.002
Simon 7.25cm_6MeV,7.23,7.26,6,10,100,0.993
P35_2,7.43,10.3,6,10,100,1.006
Simon 8.3cm_6MeV,8.28,8.3,6,10,100,0.994
P6,8.5,10.73,6,10,100,1.001
Simon 8.5x10.9cm_6MeV,8.5,10.85,6,10,100,0.997
Simon 9.5cm_6MeV,9.49,9.5,6,10,100,0.995
P46,4.37,6.21,9,10,100,1.041
Simon 5cm_9MeV,4.99,5,9,10,100,1.043
P53,5.09,6.32,9,10,100,1.025
Simon 5.3x12.5cm_9MeV,5.26,12.45,9,10,100,1.01
P25,5.38,8.23,9,10,100,1.015
P8,5.64,6.96,9,10,100,1.023
Simon 6.1cm_9MeV,6.09,6.1,9,10,100,1.018
P9_2,6.29,6.69,9,10,100,1.007
P34_3,6.72,10.23,9,10,100,1.003
Simon 6.7x12cm_9MeV,6.76,12,9,10,100,1
Simon 7.25cm_9MeV,7.23,7.26,9,10,100,0.995
Simon 8.3cm_9MeV,8.28,8.3,9,10,100,0.996
P34_2,8.37,10.6,9,10,100,1.003
Simon 8.5x10.9cm_9MeV,8.5,10.85,9,10,100,0.995
P17,8.6,9.81,9,10,100,0.989
Simon 9.5cm_9MeV,9.49,9.5,9,10,100,0.993
P61,4.69,14.39,12,14,100,1.01
P56,5.91,12.56,12,14,100,0.991
P15_1,7.4,13.47,12,14,100,0.99
P21,7.65,10.8,12,14,100,0.998
P45,9.11,12.34,12,14,100,0.991
P19,7.08,8.84,15,14,100,0.979
P15_2,8.57,12.91,15,14,100,0.979
P27,9.25,11.42,15,14,100,0.987
P37_3,7.3,12.97,18,14,100,0.987
P38_2,8.69,11.49,18,14,100,0.983
P33,6.21,10.43,6,14,100,1.001
P37_2,7.29,10.1,6,14,100,0.993
P20,8.6,9.24,6,14,100,0.994
P38_3,8.84,15.52,6,14,100,0.997
P16,9.05,11.99,6,14,100,0.989
P35_1,9.28,10.58,6,14,100,0.991
P23,9.87,13.16,6,14,100,0.995
P26,6.68,10.71,9,14,100,0.997
P14_2,7.03,12.47,9,14,100,0.983
P34_1,7.66,11.25,9,14,100,0.994
P18,8.6,10.32,9,14,100,0.99
P14_1,8.61,12.03,9,14,100,0.984
P31_2,10.65,17.74,18,20,100,0.986
P60,18.48,20.89,6,20,100,0.996
P41,7.85,24.61,9,20,100,0.989
P32,9.3,22.7,9,20,100,0.989
P51,10,28.65,15,25,100,0.986
P49,2.69,4.21,6,6,100,1.116
P43,2.8,2.9,6,6,100,1.13
P48,3.31,6.08,6,6,100,1.032
P47,3.39,3.4,6,6,100,1.101
P35_3,3.48,4.78,6,6,100,1.065
Standard 4cm circle P63,4,4,6,6,100,1.061
P59,4.1,5.89,6,6,100,1.019
Standard 5cm circle P29,5,5,6,6,100,1.011
P30,4.12,5.22,9,6,100,1.042
P2,4.43,5.97,9,6,100,1.028
P52,4.89,5.6,9,6,100,1.001
Appears to be a standard 6cm P58,6,6,9,6,100,0.998
P64,8.96,13.21,9,14,100,0.988
P65 parameterised by hand,8.4,10.7,15,14,100,0.997
P66,7.21,13.44,15,14,100,1
P67_012734,3.17,5.45,12,6,100,1.069
P68_008991,3.05,4.23,9,6,100,1.106
P69_007906,4.36,5.38,15,6,100,1.007
'3cm' circle,2.71,2.85,9,6,100,1.16
P70_013001,2.66,4.28,9,6,100,1.127
P71_013667,12.26,17.58,15,20,100,0.989
